prefecture,category,pop_total
三重県,0_公共交通便利地域,656055
三重県,1_公共交通不便地域,789026
三重県,2_公共交通空白地域,323711
京都府,0_公共交通便利地域,1500786
京都府,1_公共交通不便地域,879152
京都府,2_公共交通空白地域,197769
佐賀県,0_公共交通便利地域,191494
佐賀県,1_公共交通不便地域,435967
佐賀県,2_公共交通空白地域,183360
兵庫県,0_公共交通便利地域,2757467
兵庫県,1_公共交通不便地域,2173069
兵庫県,2_公共交通空白地域,531500
北海道,0_公共交通便利地域,1934095
北海道,1_公共交通不便地域,2726108
北海道,2_公共交通空白地域,561568
千葉県,0_公共交通便利地域,2851863
千葉県,1_公共交通不便地域,2695723
千葉県,2_公共交通空白地域,736055
和歌山県,0_公共交通便利地域,330421
和歌山県,1_公共交通不便地域,375189
和歌山県,2_公共交通空白地域,215894
埼玉県,0_公共交通便利地域,2946269
埼玉県,1_公共交通不便地域,3613844
埼玉県,2_公共交通空白地域,786089
大分県,0_公共交通便利地域,268857
大分県,1_公共交通不便地域,651438
大分県,2_公共交通空白地域,201882
大阪府,0_公共交通便利地域,5900544
大阪府,1_公共交通不便地域,2360229
大阪府,2_公共交通空白地域,576426
奈良県,0_公共交通便利地域,679901
奈良県,1_公共交通不便地域,458722
奈良県,2_公共交通空白地域,185519
宮城県,0_公共交通便利地域,825582
宮城県,1_公共交通不便地域,1066069
宮城県,2_公共交通空白地域,410163
宮崎県,0_公共交通便利地域,221540
宮崎県,1_公共交通不便地域,619504
宮崎県,2_公共交通空白地域,227962
富山県,0_公共交通便利地域,392679
富山県,1_公共交通不便地域,400886
富山県,2_公共交通空白地域,240821
山口県,0_公共交通便利地域,405967
山口県,1_公共交通不便地域,640214
山口県,2_公共交通空白地域,292969
山形県,0_公共交通便利地域,247717
山形県,1_公共交通不便地域,514676
山形県,2_公共交通空白地域,305463
山梨県,0_公共交通便利地域,188009
山梨県,1_公共交通不便地域,427711
山梨県,2_公共交通空白地域,194268
岐阜県,0_公共交通便利地域,525878
岐阜県,1_公共交通不便地域,1012402
岐阜県,2_公共交通空白地域,440920
岡山県,0_公共交通便利地域,513503
岡山県,1_公共交通不便地域,775954
岡山県,2_公共交通空白地域,597336
岩手県,0_公共交通便利地域,286193
岩手県,1_公共交通不便地域,614229
岩手県,2_公共交通空白地域,310019
島根県,0_公共交通便利地域,155936
島根県,1_公共交通不便地域,352492
島根県,2_公共交通空白地域,161700
広島県,0_公共交通便利地域,1116386
広島県,1_公共交通不便地域,1289155
広島県,2_公共交通空白地域,387174
徳島県,0_公共交通便利地域,189978
徳島県,1_公共交通不便地域,296075
徳島県,2_公共交通空白地域,232881
愛媛県,0_公共交通便利地域,457958
愛媛県,1_公共交通不便地域,511895
愛媛県,2_公共交通空白地域,360662
愛知県,0_公共交通便利地域,3649056
愛知県,1_公共交通不便地域,2987641
愛知県,2_公共交通空白地域,904286
新潟県,0_公共交通便利地域,588296
新潟県,1_公共交通不便地域,1217683
新潟県,2_公共交通空白地域,394083
東京都,0_公共交通便利地域,10275133
東京都,1_公共交通不便地域,3552846
東京都,2_公共交通空白地域,214185
栃木県,0_公共交通便利地域,441017
栃木県,1_公共交通不便地域,813807
栃木県,2_公共交通空白地域,678447
沖縄県,0_公共交通便利地域,195994
沖縄県,1_公共交通不便地域,1004163
沖縄県,2_公共交通空白地域,265409
滋賀県,0_公共交通便利地域,465447
滋賀県,1_公共交通不便地域,693471
滋賀県,2_公共交通空白地域,254437
熊本県,0_公共交通便利地域,433194
熊本県,1_公共交通不便地域,851465
熊本県,2_公共交通空白地域,449310
石川県,0_公共交通便利地域,292367
石川県,1_公共交通不便地域,680156
石川県,2_公共交通空白地域,158801
神奈川県,0_公共交通便利地域,4702444
神奈川県,1_公共交通不便地域,4070435
神奈川県,2_公共交通空白地域,459497
福井県,0_公共交通便利地域,256173
福井県,1_公共交通不便地域,422817
福井県,2_公共交通空白地域,87103
福岡県,0_公共交通便利地域,2353156
福岡県,1_公共交通不便地域,2173081
福岡県,2_公共交通空白地域,606806
福島県,0_公共交通便利地域,391521
福島県,1_公共交通不便地域,900548
福島県,2_公共交通空白地域,541057
秋田県,0_公共交通便利地域,230386
秋田県,1_公共交通不便地域,509949
秋田県,2_公共交通空白地域,219013
群馬県,0_公共交通便利地域,433804
群馬県,1_公共交通不便地域,989894
群馬県,2_公共交通空白地域,515473
茨城県,0_公共交通便利地域,505261
茨城県,1_公共交通不便地域,1487660
茨城県,2_公共交通空白地域,873813
長崎県,0_公共交通便利地域,396691
長崎県,1_公共交通不便地域,687070
長崎県,2_公共交通空白地域,218323
長野県,0_公共交通便利地域,611647
長野県,1_公共交通不便地域,908128
長野県,2_公共交通空白地域,528238
青森県,0_公共交通便利地域,308188
青森県,1_公共交通不便地域,683411
青森県,2_公共交通空白地域,244930
静岡県,0_公共交通便利地域,857474
静岡県,1_公共交通不便地域,2126384
静岡県,2_公共交通空白地域,648116
香川県,0_公共交通便利地域,344524
香川県,1_公共交通不便地域,351376
香川県,2_公共交通空白地域,252100
高知県,0_公共交通便利地域,277558
高知県,1_公共交通不便地域,264043
高知県,2_公共交通空白地域,148797
鳥取県,0_公共交通便利地域,150221
鳥取県,1_公共交通不便地域,294755
鳥取県,2_公共交通空白地域,108272
鹿児島県,0_公共交通便利地域,366927
鹿児島県,1_公共交通不便地域,927973
鹿児島県,2_公共交通空白地域,290879
