prefecture,category,pop_total
三重県,0_公共交通便利地域,517346
三重県,1_公共交通不便地域,864435
三重県,2_公共交通空白地域,384673
京都府,0_公共交通便利地域,1331884
京都府,1_公共交通不便地域,994476
京都府,2_公共交通空白地域,252644
佐賀県,0_公共交通便利地域,111934
佐賀県,1_公共交通不便地域,480553
佐賀県,2_公共交通空白地域,216558
兵庫県,0_公共交通便利地域,2362984
兵庫県,1_公共交通不便地域,2438956
兵庫県,2_公共交通空白地域,656943
北海道,0_公共交通便利地域,1154295
北海道,1_公共交通不便地域,3358132
北海道,2_公共交通空白地域,700398
千葉県,0_公共交通便利地域,2204437
千葉県,1_公共交通不便地域,3162425
千葉県,2_公共交通空白地域,915197
和歌山県,0_公共交通便利地域,252726
和歌山県,1_公共交通不便地域,417262
和歌山県,2_公共交通空白地域,249928
埼玉県,0_公共交通便利地域,2254110
埼玉県,1_公共交通不便地域,4154628
埼玉県,2_公共交通空白地域,935409
大分県,0_公共交通便利地域,175004
大分県,1_公共交通不便地域,712051
大分県,2_公共交通空白地域,232547
大阪府,0_公共交通便利地域,5324864
大阪府,1_公共交通不便地域,2737135
大阪府,2_公共交通空白地域,772224
奈良県,0_公共交通便利地域,581268
奈良県,1_公共交通不便地域,523141
奈良県,2_公共交通空白地域,218991
宮城県,0_公共交通便利地域,481014
宮城県,1_公共交通不便地域,1276640
宮城県,2_公共交通空白地域,543181
宮崎県,0_公共交通便利地域,89796
宮崎県,1_公共交通不便地域,707101
宮崎県,2_公共交通空白地域,271743
富山県,0_公共交通便利地域,323897
富山県,1_公共交通不便地域,431612
富山県,2_公共交通空白地域,277667
山口県,0_公共交通便利地域,265038
山口県,1_公共交通不便地域,727609
山口県,2_公共交通空白地域,340477
山形県,0_公共交通便利地域,66209
山形県,1_公共交通不便地域,621829
山形県,2_公共交通空白地域,379024
山梨県,0_公共交通便利地域,129513
山梨県,1_公共交通不便地域,459392
山梨県,2_公共交通空白地域,221127
岐阜県,0_公共交通便利地域,399618
岐阜県,1_公共交通不便地域,1080561
岐阜県,2_公共交通空白地域,498612
岡山県,0_公共交通便利地域,390965
岡山県,1_公共交通不便地域,837396
岡山県,2_公共交通空白地域,655308
岩手県,0_公共交通便利地域,69269
岩手県,1_公共交通不便地域,765311
岩手県,2_公共交通空白地域,375275
島根県,0_公共交通便利地域,101921
島根県,1_公共交通不便地域,382142
島根県,2_公共交通空白地域,184243
広島県,0_公共交通便利地域,946668
広島県,1_公共交通不便地域,1368395
広島県,2_公共交通空白地域,468883
徳島県,0_公共交通便利地域,144136
徳島県,1_公共交通不便地域,320505
徳島県,2_公共交通空白地域,252758
愛媛県,0_公共交通便利地域,381728
愛媛県,1_公共交通不便地域,546173
愛媛県,2_公共交通空白地域,395691
愛知県,0_公共交通便利地域,3203840
愛知県,1_公共交通不便地域,3313023
愛知県,2_公共交通空白地域,1021799
新潟県,0_公共交通便利地域,129386
新潟県,1_公共交通不便地域,1565776
新潟県,2_公共交通空白地域,502448
東京都,0_公共交通便利地域,9442655
東京都,1_公共交通不便地域,4244184
東京都,2_公共交通空白地域,351916
栃木県,0_公共交通便利地域,305528
栃木県,1_公共交通不便地域,879199
栃木県,2_公共交通空白地域,748442
沖縄県,0_公共交通便利地域,179760
沖縄県,1_公共交通不便地域,999537
沖縄県,2_公共交通空白地域,278814
滋賀県,0_公共交通便利地域,383527
滋賀県,1_公共交通不便地域,741255
滋賀県,2_公共交通空白地域,288871
熊本県,0_公共交通便利地域,342364
熊本県,1_公共交通不便地域,899208
熊本県,2_公共交通空白地域,487391
石川県,0_公共交通便利地域,233391
石川県,1_公共交通不便地域,718649
石川県,2_公共交通空白地域,177138
神奈川県,0_公共交通便利地域,3959006
神奈川県,1_公共交通不便地域,4647362
神奈川県,2_公共交通空白地域,618381
福井県,0_公共交通便利地域,192952
福井県,1_公共交通不便地域,464271
福井県,2_公共交通空白地域,107404
福岡県,0_公共交通便利地域,1929003
福岡県,1_公共交通不便地域,2474126
福岡県,2_公共交通空白地域,725035
福島県,0_公共交通便利地域,119445
福島県,1_公共交通不便地域,1059650
福島県,2_公共交通空白地域,653810
秋田県,0_公共交通便利地域,20654
秋田県,1_公共交通不便地域,666761
秋田県,2_公共交通空白地域,271590
群馬県,0_公共交通便利地域,293641
群馬県,1_公共交通不便地域,1068895
群馬県,2_公共交通空白地域,576617
茨城県,0_公共交通便利地域,240197
茨城県,1_公共交通不便地域,1648071
茨城県,2_公共交通空白地域,977918
長崎県,0_公共交通便利地域,284267
長崎県,1_公共交通不便地域,752949
長崎県,2_公共交通空白地域,250731
長野県,0_公共交通便利地域,318743
長野県,1_公共交通不便地域,1071753
長野県,2_公共交通空白地域,657533
青森県,0_公共交通便利地域,118012
青森県,1_公共交通不便地域,805479
青森県,2_公共交通空白地域,309091
静岡県,0_公共交通便利地域,656478
静岡県,1_公共交通不便地域,2239173
静岡県,2_公共交通空白地域,732737
香川県,0_公共交通便利地域,298046
香川県,1_公共交通不便地域,368601
香川県,2_公共交通空白地域,277507
高知県,0_公共交通便利地域,213451
高知県,1_公共交通不便地域,307292
高知県,2_公共交通空白地域,167720
鳥取県,0_公共交通便利地域,94476
鳥取県,1_公共交通不便地域,327456
鳥取県,2_公共交通空白地域,130357
鹿児島県,0_公共交通便利地域,278885
鹿児島県,1_公共交通不便地域,982534
鹿児島県,2_公共交通空白地域,317526
