category,mesh_code,pop_total
0_公共交通便利地域,3927,179760
0_公共交通便利地域,4630,6408
0_公共交通便利地域,4730,261153
0_公共交通便利地域,4731,54647
0_公共交通便利地域,4830,51645
0_公共交通便利地域,4831,31559
0_公共交通便利地域,4929,253842
0_公共交通便利地域,4930,567508
0_公共交通便利地域,4931,150476
0_公共交通便利地域,4932,17265
0_公共交通便利地域,4933,5991
0_公共交通便利地域,5029,25995
0_公共交通便利地域,5030,1791668
0_公共交通便利地域,5031,89371
0_公共交通便利地域,5032,317600
0_公共交通便利地域,5033,232759
0_公共交通便利地域,5034,29442
0_公共交通便利地域,5035,42050
0_公共交通便利地域,5036,8626
0_公共交通便利地域,5130,31648
0_公共交通便利地域,5131,118933
0_公共交通便利地域,5132,863550
0_公共交通便利地域,5133,461137
0_公共交通便利地域,5134,392555
0_公共交通便利地域,5135,3291479
0_公共交通便利地域,5136,111641
0_公共交通便利地域,5137,4507
0_公共交通便利地域,5231,4231
0_公共交通便利地域,5232,31323
0_公共交通便利地域,5233,109478
0_公共交通便利地域,5234,539277
0_公共交通便利地域,5235,6139629
0_公共交通便利地域,5236,2758277
0_公共交通便利地域,5237,1136431
0_公共交通便利地域,5238,422332
0_公共交通便利地域,5239,568590
0_公共交通便利地域,5240,11899
0_公共交通便利地域,5332,41857
0_公共交通便利地域,5333,93705
0_公共交通便利地域,5334,52716
0_公共交通便利地域,5335,39355
0_公共交通便利地域,5336,417689
0_公共交通便利地域,5337,184939
0_公共交通便利地域,5338,135474
0_公共交通便利地域,5339,15887435
0_公共交通便利地域,5340,1147942
0_公共交通便利地域,5436,337728
0_公共交通便利地域,5437,89600
0_公共交通便利地域,5438,158775
0_公共交通便利地域,5439,931565
0_公共交通便利地域,5440,112659
0_公共交通便利地域,5536,56676
0_公共交通便利地域,5537,258182
0_公共交通便利地域,5538,95108
0_公共交通便利地域,5539,34591
0_公共交通便利地域,5540,26678
0_公共交通便利地域,5638,33701
0_公共交通便利地域,5639,51018
0_公共交通便利地域,5640,93504
0_公共交通便利地域,5739,6069
0_公共交通便利地域,5740,491075
0_公共交通便利地域,5741,33554
0_公共交通便利地域,5839,6193
0_公共交通便利地域,5840,6653
0_公共交通便利地域,5841,23153
0_公共交通便利地域,5940,14053
0_公共交通便利地域,5941,36630
0_公共交通便利地域,6040,49437
0_公共交通便利地域,6041,29012
0_公共交通便利地域,6140,43307
0_公共交通便利地域,6141,9321
0_公共交通便利地域,6240,88197
0_公共交通便利地域,6341,6866
0_公共交通便利地域,6440,12868
0_公共交通便利地域,6441,1020080
0_公共交通便利地域,6442,1921
0_公共交通便利地域,6443,5625
0_公共交通便利地域,6444,3256
0_公共交通便利地域,6541,3196
0_公共交通便利地域,6542,4796
0_公共交通便利地域,6543,4756
0_公共交通便利地域,6644,2734
1_公共交通不便地域,3623,1901
1_公共交通不便地域,3624,41222
1_公共交通不便地域,3725,33196
1_公共交通不便地域,3927,898579
1_公共交通不便地域,3928,9644
1_公共交通不便地域,4027,11612
1_公共交通不便地域,4028,5746
1_公共交通不便地域,4128,14179
1_公共交通不便地域,4129,4661
1_公共交通不便地域,4229,47633
1_公共交通不便地域,4530,17389
1_公共交通不便地域,4531,26
1_公共交通不便地域,4630,66173
1_公共交通不便地域,4631,2934
1_公共交通不便地域,4729,3073
1_公共交通不便地域,4730,750048
1_公共交通不便地域,4731,481618
1_公共交通不便地域,4828,6455
1_公共交通不便地域,4829,16666
1_公共交通不便地域,4830,309261
1_公共交通不便地域,4831,216141
1_公共交通不便地域,4928,17884
1_公共交通不便地域,4929,591581
1_公共交通不便地域,4930,1327883
1_公共交通不便地域,4931,555826
1_公共交通不便地域,4932,87812
1_公共交通不便地域,4933,15150
1_公共交通不便地域,4934,6861
1_公共交通不便地域,4939,5673
1_公共交通不便地域,5029,84079
1_公共交通不便地域,5030,2358607
1_公共交通不便地域,5031,307217
1_公共交通不便地域,5032,298840
1_公共交通不便地域,5033,389001
1_公共交通不便地域,5034,59084
1_公共交通不便地域,5035,123462
1_公共交通不便地域,5036,17562
1_公共交通不便地域,5129,18865
1_公共交通不便地域,5130,41939
1_公共交通不便地域,5131,399181
1_公共交通不便地域,5132,1005353
1_公共交通不便地域,5133,1140874
1_公共交通不便地域,5134,527933
1_公共交通不便地域,5135,1976443
1_公共交通不便地域,5136,323241
1_公共交通不便地域,5137,33297
1_公共交通不便地域,5138,32475
1_公共交通不便地域,5139,1959
1_公共交通不便地域,5229,576
1_公共交通不便地域,5231,30704
1_公共交通不便地域,5232,128619
1_公共交通不便地域,5233,243856
1_公共交通不便地域,5234,1026128
1_公共交通不便地域,5235,4147849
1_公共交通不便地域,5236,2553321
1_公共交通不便地域,5237,2261258
1_公共交通不便地域,5238,1459087
1_公共交通不便地域,5239,811369
1_公共交通不便地域,5240,48219
1_公共交通不便地域,5332,75222
1_公共交通不便地域,5333,330124
1_公共交通不便地域,5334,243621
1_公共交通不便地域,5335,140632
1_公共交通不便地域,5336,1054466
1_公共交通不便地域,5337,347296
1_公共交通不便地域,5338,475962
1_公共交通不便地域,5339,12777337
1_公共交通不便地域,5340,2235172
1_公共交通不便地域,5432,846
1_公共交通不便地域,5433,11908
1_公共交通不便地域,5435,107
1_公共交通不便地域,5436,894039
1_公共交通不便地域,5437,398428
1_公共交通不便地域,5438,784444
1_公共交通不便地域,5439,2491413
1_公共交通不便地域,5440,1054495
1_公共交通不便地域,5536,140903
1_公共交通不便地域,5537,289705
1_公共交通不便地域,5538,405515
1_公共交通不便地域,5539,93367
1_公共交通不便地域,5540,513100
1_公共交通不便地域,5636,12811
1_公共交通不便地域,5637,10504
1_公共交通不便地域,5638,542464
1_公共交通不便地域,5639,782618
1_公共交通不便地域,5640,601951
1_公共交通不便地域,5641,1095
1_公共交通不便地域,5738,20798
