category,mesh_code,pop_total
0_公共交通便利地域,3927,195994
0_公共交通便利地域,4630,29832
0_公共交通便利地域,4730,320639
0_公共交通便利地域,4731,149186
0_公共交通便利地域,4830,86482
0_公共交通便利地域,4831,62597
0_公共交通便利地域,4929,345477
0_公共交通便利地域,4930,740663
0_公共交通便利地域,4931,230130
0_公共交通便利地域,4932,37637
0_公共交通便利地域,4933,11245
0_公共交通便利地域,5029,42196
0_公共交通便利地域,5030,2193437
0_公共交通便利地域,5031,138803
0_公共交通便利地域,5032,357691
0_公共交通便利地域,5033,302050
0_公共交通便利地域,5034,40870
0_公共交通便利地域,5035,74818
0_公共交通便利地域,5036,16197
0_公共交通便利地域,5130,46620
0_公共交通便利地域,5131,190090
0_公共交通便利地域,5132,995842
0_公共交通便利地域,5133,600544
0_公共交通便利地域,5134,455545
0_公共交通便利地域,5135,3695352
0_公共交通便利地域,5136,160035
0_公共交通便利地域,5137,5005
0_公共交通便利地域,5231,8213
0_公共交通便利地域,5232,67446
0_公共交通便利地域,5233,154865
0_公共交通便利地域,5234,695417
0_公共交通便利地域,5235,6883274
0_公共交通便利地域,5236,3144037
0_公共交通便利地域,5237,1373076
0_公共交通便利地域,5238,546386
0_公共交通便利地域,5239,702955
0_公共交通便利地域,5240,37968
0_公共交通便利地域,5332,60478
0_公共交通便利地域,5333,127549
0_公共交通便利地域,5334,86680
0_公共交通便利地域,5335,59380
0_公共交通便利地域,5336,537805
0_公共交通便利地域,5337,244163
0_公共交通便利地域,5338,197798
0_公共交通便利地域,5339,18157241
0_公共交通便利地域,5340,1576177
0_公共交通便利地域,5436,420296
0_公共交通便利地域,5437,211120
0_公共交通便利地域,5438,320908
0_公共交通便利地域,5439,1293049
0_公共交通便利地域,5440,290803
0_公共交通便利地域,5536,79772
0_公共交通便利地域,5537,312784
0_公共交通便利地域,5538,193847
0_公共交通便利地域,5539,60964
0_公共交通便利地域,5540,143662
0_公共交通便利地域,5541,1672
0_公共交通便利地域,5638,220596
0_公共交通便利地域,5639,273931
0_公共交通便利地域,5640,245356
0_公共交通便利地域,5641,700
0_公共交通便利地域,5739,27650
0_公共交通便利地域,5740,794684
0_公共交通便利地域,5741,153281
0_公共交通便利地域,5839,45755
0_公共交通便利地域,5840,51136
0_公共交通便利地域,5841,121096
0_公共交通便利地域,5939,13303
0_公共交通便利地域,5940,127249
0_公共交通便利地域,5941,161403
0_公共交通便利地域,6039,2914
0_公共交通便利地域,6040,138491
0_公共交通便利地域,6041,99284
0_公共交通便利地域,6139,425
0_公共交通便利地域,6140,119516
0_公共交通便利地域,6141,25930
0_公共交通便利地域,6240,127776
0_公共交通便利地域,6340,44569
0_公共交通便利地域,6341,74662
0_公共交通便利地域,6342,14141
0_公共交通便利地域,6440,27911
0_公共交通便利地域,6441,1317276
0_公共交通便利地域,6442,13752
0_公共交通便利地域,6443,43483
